collection,is_homepage,title,slug,permalink,schema_type,excerpt,order,keywords,media_hero,media_alt,references,album,body_md
personal-micro-dictionary,False,BUILDING:,building-cuboid-mount-caves-eagle,/personal-micro-dictionary/building-cuboid-mount-caves-eagle/,CreativeWork,,,"building, cuboid, mount, caves, eagle, view, termite, passages, cave, humans",,,,,"BUILDING:

A cuboid mount
with caves.

Eagle view
but termite passages.

Cave humans
nevertheless."
personal-micro-dictionary,False,PENCIL:,pencil-ashes-reincarnating-life-paper,/personal-micro-dictionary/pencil-ashes-reincarnating-life-paper/,ShortStory,,,"pencil, ashes, reincarnating, life, paper",,,,,"PENCIL:

Ashes reincarnating
as new life
on a paper."
personal-micro-dictionary,False,INNER EAR:,inner-ear-living-fossil-inside,/personal-micro-dictionary/inner-ear-living-fossil-inside/,ShortStory,,,"inner, living, fossil, inside, humans",,,,,"INNER EAR:

A living fossil
inside a sea of humans."
personal-micro-dictionary,False,ANTICIPATION:,anticipation-thousand-mini-death-sentence,/personal-micro-dictionary/anticipation-thousand-mini-death-sentence/,ShortStory,,,"anticipation, thousand, mini, death, sentence, flyers, suddenly, released, bloodstream",,,,,"ANTICIPATION:

One thousand
mini death sentence flyers,
suddenly released
in your bloodstream."
personal-micro-dictionary,False,ASSESSMENT:,assessment-dogs-know-each-other,/personal-micro-dictionary/assessment-dogs-know-each-other/,CreativeWork,,,"assessment, dogs, know, each, other",,,,,"ASSESSMENT:

The way dogs 
get to know 
each other."
personal-micro-dictionary,False,BODYBUILDER:,bodybuilder-wears-skin,/personal-micro-dictionary/bodybuilder-wears-skin/,ShortStory,,,"bodybuilder, wears, skin",,,,,"BODYBUILDER:

She wears her skin."
personal-micro-dictionary,False,SOCIAL MEDIAS:,social-medias-memories-pixel-decaying,/personal-micro-dictionary/social-medias-memories-pixel-decaying/,ShortStory,,,"social, medias, memories, pixel, decaying",,,,,"SOCIAL MEDIAS:

Memories
pixel
decaying."
personal-micro-dictionary,False,EINSTEIN,einstein-hindrance-piedra-camino,/personal-micro-dictionary/einstein-hindrance-piedra-camino/,CreativeWork,,,"einstein, hindrance, piedra, camino",,,,,"EINSTEIN
(hindrance):

Una piedra en el camino."
personal-micro-dictionary,False,PLANTS:,plants-earth-heaven-except-phytoplankton,/personal-micro-dictionary/plants-earth-heaven-except-phytoplankton/,ShortStory,,,"plants, earth, heaven, except, phytoplankton, drifter",,,,,"PLANTS:

Under Earth as it is in Heaven,
except you
phytoplankton,
you're a drifter."
personal-micro-dictionary,False,MUSE/MUSIC:,muse-music-heartbeat-breathing-orchestrated,/personal-micro-dictionary/muse-music-heartbeat-breathing-orchestrated/,CreativeWork,,,"muse, music, heartbeat, breathing, orchestrated",,,,,"MUSE/MUSIC:

Heartbeat
and
Breathing

Orchestrated."
